model,name
isa.camera.hlzoom,小米/米家设备型号、使用说明书查询工具，米家智能家居产品大全，Xiaomi
isa.camera.panjd1,小方智能摄像机
isa.light.camsl1,华来AI智能氛围灯带
isleep.blanket.hs2001,绘睡一键舒眠水暖垫HS2001
isleep.blanket.hs2201,绘睡一键舒眠水暖垫HS2201
isleep.blanket.hs2205,绘睡水暖垫HS2205
izq.sensor_occupy.solo,子擎存在传感器
izq.sensor_occupy.trio,子擎存在传感器
isleep.blanket.hs2001,绘睡一键舒眠水暖垫HS2001
isleep.blanket.hs2205,绘睡水暖垫HS2205
jns.airer.1,捷纳森智能晾衣架
julun.switch.jlsw01,julun智能WIFI开关
kadeer.derh.x1701,奥克斯KDY10-01WS智能除湿机
kadeer.fan.l22xh2,飞利浦ACR4142CF循环扇
kejia.airer.krq,Courage智能晾衣机
kejia.airer.mznpro,米智能·电动晾衣机PRO
kingee.airer.kelyj5,博高科智能电动晾衣机
ksmb.treadmill.m1v1,米家跑步机
leishi.bhf_light.lsyb01,雷士智能浴霸V2
leishi.bhf_light.lsyb03,雷士智能浴霸N3
leishi.light.eps112,雷士LED智能吸顶灯
leishi.light.eps118,雷士智能LED吸顶灯
leishi.light.eps121,雷士风扇灯
leishi.light.eps127,雷士智能led吸顶灯pro
leishi.light.wy0a06,雷士智能灯饰
leishi.light.wy0a10,雷士智能吸顶灯pro
leishi.light.wyfa02,雷士智能风扇灯（智逸款）
leishi.light.wyfa03,雷士智能风扇灯
lemesh.light.wy02,情景WiFi色温灯C系列
lemesh.switch.sw0c01,开关通断器C3版
leshi.light.wy0b01,情景WIFI双色灯
leshi.light.wyfa01,情景智慧风扇灯通用款
leshi.light.wyfan,情景智慧风扇灯WiFi版
leshow.heater.bs1s,米家踢脚线电暖器1S
leshow.heater.bs2,米家石墨烯踢脚线电暖器
leshow.heater.bs3,米家石墨烯踢脚线电暖器
leshow.heater.nfj1lx,米家立式暖风机
leshow.heater.nfj2lx,米家立式暖风机Lite
leshow.heater.nfj3lx,Xiaomi
leshow.humidifier.jsq1,米家纯净式智能加湿器
leshow.humidifier.jsq2,米家纯净式智能加湿器
leshow.humidifier.jsq3,米家纯净式智能加湿器
linp.doorbell.g04,自发电WIFI门铃2
linp.switch.q31,领普墙壁开关（单键）
linp.switch.q32,领普墙壁开关（双键）
linp.switch.q32s,领普Q3墙壁开关(双键)
linp.switch.q33,领普墙壁开关（三键）
lipro.light.23x1,lipro智能吸顶灯E2
loock.camera.c1k,鹿客智能看护AI摄像机
loock.cateye.v06,小米智能猫眼1S
loock.cateye.v07,鹿客智能猫眼CatX
lumi.acpartner.mcn04,米家空调伴侣Pro
lumi.acpartner.v1,Aqara 空调伴侣
lumi.airer.acn02,Aqara智能晾衣机
lumi.curtain.acn014,Aqara智能窗帘电机
lumi.curtain.hagl05,小米有品智能窗帘电机（Wi-Fi版）
lumi.curtain.hagl08,Aqara智能窗帘电机
lumi.curtain.hmcn01,米家智能窗帘
lumi.curtain.mcn005,米家智能窗帘1S
lumi.sen_ill.mgl01,小米光照传感器
lumi.sensor_gas.mcn02,小米天然气卫士
lumi.sensor_motion.aq2,Aqara人体传感器
lumi.sensor_motion.v2,小米人体传感器
mate.airfresh.a1,MATE新风机A1
mate.humidifier.cs01,MATE加湿器
miaomiaoce.airm.air01,秒秒测空气质量检测仪
miaomiaoce.airm.air02,秒秒测空气质量检测仪（甲醛）
miaomiaoce.blanket.s02,PMA-秒秒测智能低压电热毯（单人）
mibx2.fridge.496,米家十字四门冰箱
mibx2.fridge.v1,米家互联网对开门冰箱450L
mibx2.washer.v1,米家互联网直驱洗烘一体机
mibx2.washer.v11,米家直驱洗烘一体机
mibx2.washer.v13,米家Mini洗衣机
mibx2.washer.v2,米家直驱洗烘一体机
mibx2.washer.v3,米家波轮洗衣机
mibx2.washer.v5,米家Mini洗衣机
mibx2.washer.v6,米家波轮洗衣机
mibx2.washer.v6rm,米家波轮洗衣机
mibx5.dry.v2,米家互联网热泵干衣机
mibx5.washer.v10,米家洗烘一体机
mibx5.washer.v11,米家内衣物洗烘一体机
mibx5.washer.v6,直驱
midjd.fridge.501b,米家冰箱
midjd6.fridge.430,米家冰箱
midjd6.fridge.4301,米家冰箱
midjd6.fridge.430b,米家冰箱
midjd6.fridge.610,米家对开门冰箱
midjd6.fridge.v1,米家互联网对开门冰箱540L
midjd8.fridge.400b,米家冰箱
midjd8.washer.44,米家洗衣机
mijia.vacuum.b108zb,米家扫拖机器人3S
mijia.vacuum.b108zh,米家扫拖机器人3S
mijia.vacuum.v1,米家扫拖机器人
mijia.vacuum.v2,Mi
mijia.vacuum.v3,Mi
mike.bhf_light.2,智能浴霸Pro（AI版）YB-007
minij.washer.v17,小吉智能壁挂洗烘一体机
minij.washer.v20,米家互联网迷你波轮洗衣机Pro
minjie.light.tdcw02,小米/米家设备型号、使用说明书查询工具，米家智能家居产品大全，Xiaomi
mipin.motion.mc1,MIANCHU免触传感器标准版
mmgg.feeder.fi1,Xiaomi
mmgg.feeder.inland,米家智能宠物喂食器
mmgg.feeder.spec,XIAOWAN
mmgg.litter_box.lbc1,小顽智能全自动猫砂盆
mmgg.pet_waterer.s1,米家智能宠物饮水机
mmgg.pet_waterer.s4,XIAOWAN
mmgg.pet_waterer.wi11,Xiaomi
morfun.kettle.mf809,魔凡智能即热茶吧机
morfun.ysj.mf208,魔凡智能即热饮水吧
mrbond.airer.m2,邦先生M2智能晾衣机
mrbond.airer.m2pro,邦先生M2pro智能晾衣机
mrbond.airer.m33a,邦先生智能晾衣机-简约款3
mrbond.airer.m53pro,邦先生智能晾衣机-风烘款
msj.dishwasher.v1,米家智能嵌入式洗碗机12套S1
msj.f_washer.m1pro,食材净化清洗机
msj.f_washer.m2,智能水槽净洗机
mxiang.camera.mod11,Xiaomi室外摄像机
mxiang.camera.mod13,Xiaomi
myoung.massage.m900,米家智能按摩椅
nbczwl.airer.airer,金贵夫人XM
nineam.desk.hoo01,9am智能升降桌
nnleaf.light.strips,Nanoleaf智能灯带
noc196.light.mdyctd,米典零蓝光音乐氛围灯
novo.curtain.n21,NOVO智能窗帘电机
nwt.derh.312en,NWT互联网除湿机
nwt.derh.330ef,NWT
nwt.derh.nwt10l,NWT互联网除湿机
opple.bhf_light.acmoto,欧普智能浴霸
opple.bhf_light.fx88a,欧普智能浴霸
opple.light.dcfan,OPPLE
opple.light.moat,OPPLE
opple.light.tabcw,欧普智能台灯
opple.light.tablgt,欧普智能台灯
opple.light.yrtd,OPPLE元睿2Pro台灯
ouchen.airer.m01,智能晾衣机momo
ows.tow_w.mjj20a,欧伟士NEX毛巾架
ows.tow_w.mjjs1,欧伟士S1毛巾架
philips.light.bceil1,飞利浦智睿吸顶灯
philips.light.bceil2,飞利浦智睿吸顶灯
philips.light.ceil33,米家飞利浦卧室吸顶灯
philips.light.dlight,智睿LED筒灯
philips.light.pceil,米家吸顶灯Pro
philips.light.sceilm,智睿吸顶灯
philips.light.sceils,智睿吸顶灯
philips.light.sread3,米家飞利浦台灯3
philips.light.sread4,智睿读写台灯
philips.light.sread8,飞利浦智秀台灯
philips.light.sread9,米家台灯Pro
philips.light.strip2,智睿彩光灯带
philips.light.strip3,米家追光氛围灯带
philips.light.strip5,Xiaomi
philips.light.xzceim,智睿吸顶灯
pinlo.juicer.pbjs1,米家智能轻音破壁料理机
pwzn.light.apple,灯带控制器
pwzn.plug.banana,智能无线墙充
qdhkl.aircondition.b23,空调室内机控制器(WIFI)
qdhkl.gateway.b19,VRF中央空调控制器
qdhkl.gateway.lonink,LONINK
qdhkl.gateway.sm,苏米VRF空调网关
qmdq88.dishwasher.p116,米家智能独嵌两用洗碗机16套P1
qmdq88.dishwasher.s1,米家智能台式洗碗机5套S1
qmi.plug.tw02,Xiaomi
qmi.plug.2a1c1,Xiaomi
qmi.plug.psv1,爱国者智能插排
qmi.plug.tw02,Xiaomi
qshui.blanket.d1,塞问智能水暖床垫
qushui.bed.001,8H
qushui.bed.003,8H
qushui.bed.007,8H
qushui.bed.dt4,8H
qushui.blanket.mj1,米家智能温控水暖毯
rmt.bed.zhsbed,芝华仕智能床
roidmi.vacuum.r1b,睿米扫拖机器人EVE
roidmi.vacuum.v60,睿米扫拖机器人EVE
roidmi.vacuum.v62,ROIDMI
roidmi.vacuum.v66,睿米真全能扫拖机器人
rotai.massage.m660p,摩摩哒M660Pro暖芯椅
san.airrtc.s89h,晟科瑞地暖温控器
sfl.light.aaas,FSL佛山照明云控智能灯具
sfl.light.fsl002,FSL格致系列
shhf.light.sfla10,变频智能风扇灯
shhf.light.slwfc3,智能色温灯WiFi版
silen.fryer.sck505,Silencare
skyrc.feeder.fed,湃妮迷你宠物喂食器
skyrc.feeder.vdfeed,湃妮迷你可视宠物喂食器
skyrc.pet_waterer.fres2,湃妮迷你宠物饮水机Pro
solove.fan.f5new,素乐智能风扇F5i
suittc.airrtc.wk168,智能温控器
syi.airer.sy1,卡瑞琪电动晾衣架
szdy.airfresh.n80,碧家新风机
szkj.mop.mjhvc1,米家高温无线洗地机
szkj.vacuum.fc01eu,Xiaomi
szkj.vacuum.mjfc01,米家防缠绕扫拖机器人
topwit.bhf_light.rz01,智能浴霸开关
tsd.light.h002,通士达智慧客卧灯
uvfive.dryer.panda,FIVE智能烘鞋暖被干衣机
uvfive.s_lamp.slmap2,FIVE智能消毒杀菌灯
uvfive.steriliser.maine,FIVE智能刀筷杀菌架
uvfive.steriliser.tiger,FIVE智能刀筷砧板杀菌架
viewx.light.101001,inncap靓光LED灯泡（彩光版）
viomi.aircondition.y1,Milano（柜式
viomi.aircondition.y115,VIOMI
viomi.aircondition.y15,iCool
viomi.aircondition.y64,Navi 2 1P
viomi.aircondition.y69,Space
viomi.aircondition.y76,Smart
viomi.aircondition.y83,Navi
viomi.aircondition.y84,Navi
viomi.airer.ich108,云米互联网电动晾衣架Lite
viomi.airer.ich110,云米AI智能晾衣机Smart
viomi.airer.vch110,云米AI智能晾衣机Super
viomi.airer.vcy102,云米互联网晾衣机Sunny
viomi.airer.vcy105,云米AI智能晾衣机Super
viomi.airp.v3,Smart
viomi.bhf_light.v3,云米互联网浴霸Pro（风暖触控版）
viomi.bhf_light.v4,云米互联网浴霸A1
viomi.dishwasher.m03,米家智能独嵌两用洗碗机15套S1
viomi.dishwasher.v06,云米互联网洗碗机（嵌入式）
viomi.dishwasher.v07,Viomi
viomi.dishwasher.v09,云米互联网洗碗机4套台面式0402
viomi.dishwasher.v10,云米互联网洗碗机10套嵌入式0805
viomi.dishwasher.v11,云米互联网洗碗机10套嵌入式0804
viomi.dishwasher.v23,Viomi
viomi.fan.v6,云米互联网空气循环扇
viomi.fan.v7,云米互联网直流变频落地扇3
viomi.fridge.u35,云米冰箱iLive（十字四门410L）
viomi.fridge.u46,云米互联网冰箱iLive(对开门456L)升级版
viomi.fridge.u47,云米互联网冰箱iLive2(对开门590L)
viomi.heater.v10,云米AI石墨烯踢脚线电暖器Smart
viomi.heater.v4,云米互联网踢脚线电暖器Pro2
viomi.heater.v5,Viomi
viomi.heater.v6,云米AI踢脚线电暖器
viomi.heater.v8,云米AI对流电暖器
viomi.heater.v9,Viomi
viomi.heater.vxtj01,云米互联网踢脚线电暖器 Pro
viomi.hood.c14,云米AI油烟机Cross2
viomi.hood.c4,云米互联网油烟机Flash
viomi.hood.c5,云米互联网油烟机
viomi.hood.c7,云米互联网油烟机
viomi.hood.c8,云米互联网油烟机VK707
viomi.hood.v2,米家智能侧吸油烟机
viomi.hood.v5,米家跨界吸油烟机S1
viomi.hood.v6,米家侧吸油烟机S1
viomi.hood.v8,米家智能变频升降吸油烟机S1
viomi.oven.so3,云米互联网蒸烤一体机
viomi.oven.so9,Viomi
viomi.vacuum.v12,云米互联网扫拖机器人X2（激光导航版）
viomi.vacuum.v13,Viomi
viomi.vacuum.v15,云米AI扫拖机器人Alpha
viomi.vacuum.v17,云米互联网集尘扫拖机器人
viomi.vacuum.v18,Viomi
viomi.vacuum.v19,Viomi
viomi.vacuum.v22,VIOMI
viomi.vacuum.v23,VIOMI
viomi.vacuum.v35,Viomi
viomi.vacuum.v38,Viomi
viomi.washer.v13,云米洗烘一体机Neo（10kg）
viomi.washer.v19,云米洗烘一体机Neo（10kg直驱版）
viomi.washer.v25,云米互联网洗烘一体机Master（10KG）
viomi.washer.v33,云米互联网洗烘机Master
viomi.washer.v34,云米互联网洗烘机Master
viomi.washer.v35,云米互联网洗烘机Master
viomi.washer.v47,Viomi
viomi.washer.w1,云米互联网壁挂洗衣机
viomi.waterheater.e14,云米互联网免更换镁棒电热水器
viomi.waterheater.e17,云米互联网电热水器C1（60L）
viomi.waterheater.e42,蓝调智能电热水器
viomi.waterheater.m1,米家零冷水燃气热水器S1
viomi.waterheater.u17,云米互联网燃气热水器S1
viomi.waterheater.u18,云米互联网燃气热水器S1
viomi.waterheater.u22,云米互联网燃气热水器C1
viomi.waterheater.u24,云米互联网燃气热水器A1
viomi.waterheater.u27,云米互联网燃气热水器Zero
viomi.waterheater.u34,云米互联网燃气热水器VGW1815
viomi.waterheater.u39,云米互联网燃气热水器VGW1617
viomi.waterheater.u42,云米互联网燃气热水器VGW1318
viomi.waterheater.u43,云米互联网燃气热水器VGW1618
viomi.waterheater.u53,云米AI燃气热水器VGW1823
viomi.waterheater.u57,云米AI零冷水燃气热水器Super
wfxx.motor.lsmk,麒石门控
wfxx.motor.mxrf,MX射频控制器PLUS
wfxx.motor.ycmkq,MX射频控制器
xiaomi.aircondition.c10,小米巨省电立式空调
xiaomi.aircondition.c11,小米巨省电立式空调
xiaomi.aircondition.c12,米家空调
xiaomi.aircondition.c13,米家空调
xiaomi.aircondition.c15,米家空调
xiaomi.aircondition.c16,米家空调
xiaomi.aircondition.c17,米家新风空调
xiaomi.aircondition.c19,米家新风空调（大1匹）
xiaomi.aircondition.c20,米家新风空调立式（3匹
xiaomi.aircondition.c21,米家空调
xiaomi.aircondition.c22,小米空调
xiaomi.aircondition.c32,小米巨省电立式空调
xiaomi.aircondition.c33,米家空调
xiaomi.aircondition.c36,米家空调
xiaomi.aircondition.m16,米家空调
xiaomi.aircondition.m19,米家新风空调
xiaomi.aircondition.m4,小米空调巨省电
xiaomi.aircondition.m6,空调
xiaomi.aircondition.m9,小米空调巨省电
xiaomi.aircondition.mc1,小米互联网空调A（大1匹|变频|一级能效）
xiaomi.aircondition.mc4,小米互联网空调A（大1匹|变频|超一级能效）
xiaomi.aircondition.mc5,小米互联网空调A（1.5匹|变频|超一级能效）
xiaomi.aircondition.mc6,小米互联网立式空调A（2匹|变频|超一级能效）
xiaomi.aircondition.mc7,小米互联网立式空调A（3匹|变频|超一级能效）
xiaomi.aircondition.mc8,小米巨省电空调（1.5匹|变频|新三级能效）
xiaomi.aircondition.mc9,小米巨省电立式空调（2匹|变频|新三级能效）
